NOMBRE_EQUIPO,INTERFACE,NOMBRE_CLIENTE,NRO_VLAN,DIRECCION_IPV4, DIRECCION_IPV6, VELOCIDAD_ENTRADA,VELOCIDAD_SALIDA
 CRED1004X1,Loopback0,,,WAN: 181.225.41.18/32 - LAN: ,WAN: 2803:D480:0:73::18/128 - LAN: ,,
 CRED1004X1,Port-channel1,,,,,,
 CRED1004X1,Port-channel1.9,CC-BACKBONE-L3-IFX,9,WAN: 172.23.249.2/28 - LAN: ,WAN: 2803:D480:0:80:0:3E80:0:4/124 - LAN: ,,
 CRED1004X1,Port-channel1.30,CRED-LEBRUN,30,WAN: 172.23.249.34/28 - LAN: ,WAN: 2803:D480:0:66::C001/64 - LAN: ,,
 CRED1004X1,Port-channel2,LEV3-CL_IP - FRO2006909960,,,,,
 CRED1004X1,Port-channel3,,,,,,
 CRED1004X1,Port-channel3.282(shutdown),,,,,,
 CRED1004X1,Port-channel4,,,,,,
 CRED1004X1,Port-channel5,,,,,,
 CRED1004X1,Port-channel6,,,,,,
 CRED1004X1,Port-channel8,,,,,,
 CRED1004X1,Port-channel9,,,,,,
 CRED1004X1,TenGigabitEthernet0/1/0,CCSJ4500CREX2_xe-0/0/14_TUNO-CUBON-CV,,,,,
 CRED1004X1,GigabitEthernet0/2/3,,,,,,
 CRED1004X1,GigabitEthernet0/2/3.1,,1 native,WAN: 172.23.253.65/28 - LAN: ,,,
 CRED1004X1,GigabitEthernet0/2/3.17,Alcaldia-Chacao;ID:25550,,,,,
 CRED1004X1,GigabitEthernet0/2/3.50,,50,WAN: 172.23.255.165/30 - LAN: ,,,
 CRED1004X1,GigabitEthernet0/2/3.51,,51,WAN: 172.23.255.169/30 - LAN: ,,,
 CRED1004X1,GigabitEthernet0/2/3.54,CRED1-JCTEST,54,WAN: 190.94.224.89/30 - LAN: ,,,
 CRED1004X1,GigabitEthernet0/2/3.102(shutdown),DVA-SERVICIOS;ID:21467,102,,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,GigabitEthernet0/2/4,,,,,,
 CRED1004X1,GigabitEthernet0/2/4.1,CCS3750CREDX1-NU,1,WAN: 172.23.253.137/29 - LAN: ,,,
 CRED1004X1,GigabitEthernet0/2/4.99,,99 native,,,,
 CRED1004X1,GigabitEthernet0/2/5,,,,,,
 CRED1004X1,GigabitEthernet0/2/5.2,VECCSNOC3750X4_Giga1/0/5,2,WAN: 172.23.250.121/29 - LAN: ,,,
 CRED1004X1,GigabitEthernet0/2/5.99,,99 native,,,,
 CRED1004X1,GigabitEthernet0/2/6(shutdown),,,,,,
 CRED1004X1,GigabitEthernet0/2/7(shutdown),,,,,,
 CRED1004X1,TenGigabitEthernet0/3/0,GPON-OLT-CRED-31052022,,,,,
 CRED1004X1,TenGigabitEthernet0/3/0.259,CRED-OPTICA-CARONI;ID:26938,259,WAN: 172.23.253.89/30 - LAN: 190.94.194.128/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.279,CRED-C-BECO-LA-TRIN;ID:27137,279,WAN: 172.23.248.209/30 - LAN: 181.225.44.128/29 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.282,CRED-PROPISCA-T3M;ID:25988,282,WAN: 172.23.247.77/30 - LAN: 181.225.44.56/29 ,,ACL:200M / Mb:error_speed,ACL:200M / Mb:error_speed,
 CRED1004X1,TenGigabitEthernet0/3/0.284,CRED-TELCORP-CAM;ID:26301,284,WAN: 172.23.242.157/30 - LAN: 190.94.252.200/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.285,CRED-TELECENTER-2000;ID:26332,285,WAN: 172.23.239.149/30 - LAN: 190.94.201.248/30 190.94.218.160/29 ,,ACL:200M / Mb:error_speed,ACL:200M / Mb:error_speed,
 CRED1004X1,TenGigabitEthernet0/3/0.1961(shutdown),CRED-TECNOPRO-2018;ID:27086,1961,WAN: 190.94.224.245/30 - LAN: ,,ACL:1G / Mb:error_speed,ACL:1G / Mb:error_speed,
 CRED1004X1,TenGigabitEthernet0/3/0.1962,CRED-RIDERY-FERRETOT;ID:26560,1962,WAN: 172.23.238.249/30 - LAN: 190.94.224.248/30 ,,ACL:300M / Mb:error_speed,ACL:300M / Mb:error_speed,
 CRED1004X1,TenGigabitEthernet0/3/0.1978,CRED-SHAAREI-SHALOM;ID:25927,1978,WAN: 190.94.210.157/30 - LAN: ,,ACL:4M / Mb:4,ACL:4M / Mb:4,
 CRED1004X1,TenGigabitEthernet0/3/0.1982,CRED-CENCO-ZOTTI;ID:27267,1982,WAN: 172.23.239.81/30 - LAN: 190.94.252.16/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3100,LIBER-JRL;ID:26179,3100,WAN: 172.23.246.21/30 - LAN: 190.94.251.8/29 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3102,GALI-METRO-MULTICENT,3102,WAN: 172.23.241.193/30 - LAN: 190.94.244.192/30 190.94.244.216/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet0/3/0.3104,GPON-CRED-METRO-HOYADA,3104,WAN: 172.23.241.1/30 - LAN: 190.94.194.236/30 190.94.244.164/30 190.94.244.188/30 190.94.244.248/30 190.94.251.56/29 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3106,CRED-TELCORP-PYG;ID:26301,3106,WAN: 172.23.241.101/30 - LAN: 190.94.198.88/29 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3108,CRED-HERMO;ID:26579,3108,WAN: 172.23.241.41/30 - LAN: 190.94.253.124/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3110,CRED-ADM-ESTAC-CRED;ID:4,3110,WAN: 190.94.200.9/30 - LAN: ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet0/3/0.3111,RIDERY-P&G;ID:26560,3111,WAN: 172.23.242.29/30 - LAN: 190.94.200.192/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3114,GAMA-EXP-TRINI;ID:26091,3114,WAN: 172.23.240.153/30 - LAN: 190.94.197.156/30 190.94.200.72/30 ,,ACL:300M / Mb:error_speed,ACL:300M / Mb:error_speed,
 CRED1004X1,TenGigabitEthernet0/3/0.3115,SOUTEC-PYG;ID:26322,3115,WAN: 172.23.240.25/30 - LAN: 190.94.193.84/30 190.94.197.100/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3116,CRED-EMPORIO-CHAC;ID:26581,3116,WAN: 172.23.240.93/30 - LAN: 190.94.194.72/30 190.94.200.80/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3117,INDIGO-ENERGY;ID:25917,3117,WAN: 172.23.240.197/30 - LAN: 154.47.157.6/32 181.225.44.64/29 190.94.193.56/30 ,,ACL:200M / Mb:error_speed,ACL:200M / Mb:error_speed,
 CRED1004X1,TenGigabitEthernet0/3/0.3118,GAMA-PLUS-TRIN;ID:26091,3118,WAN: 172.23.240.221/30 - LAN: 190.94.200.88/30 ,,ACL:120M / Mb:120,ACL:120M / Mb:120,
 CRED1004X1,TenGigabitEthernet0/3/0.3119,GAMA-TAHONA;ID:26091,3119,WAN: 172.23.240.37/30 - LAN: 190.94.193.4/30 ,,ACL:300M / Mb:error_speed,ACL:300M / Mb:error_speed,
 CRED1004X1,TenGigabitEthernet0/3/0.3120,LASER-AIR-P6;ID:26533,3120,WAN: 172.23.242.117/30 - LAN: 190.94.200.56/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3121,PLANI-LOMBARDA;ID:26387,3121,WAN: 172.23.242.73/30 - LAN: 190.94.199.116/30 190.94.199.212/30 ,,ACL:300M / Mb:error_speed,ACL:300M / Mb:error_speed,
 CRED1004X1,TenGigabitEthernet0/3/0.3122,CORPOEL-CONCRES;ID:26637,3122,WAN: 172.23.242.181/30 - LAN: 190.94.200.180/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3125,DIS-CAP-COPOSA;ID:26809,3125,WAN: 172.23.238.73/30 - LAN: 190.94.224.68/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3126,GRUP-TOTAL-TRIN;ID:26603,3126,WAN: 172.23.242.253/30 - LAN: 190.94.224.8/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3128,CRED-FASTMED-ST-FE;ID:26793,3128,WAN: 172.23.238.53/30 - LAN: 190.94.194.120/30 ,,ACL:300M / Mb:error_speed,ACL:300M / Mb:error_speed,
 CRED1004X1,TenGigabitEthernet0/3/0.3130,CRED-DELCOP;ID:26834,3130,WAN: 172.23.238.125/30 - LAN: 190.94.224.124/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3131,CRED-AC-SOLIDARIA;ID:26850,3131,WAN: 172.23.238.121/30 - LAN: 190.94.198.216/29 190.94.224.120/30 ,,ACL:300M / Mb:error_speed,ACL:300M / Mb:error_speed,
 CRED1004X1,TenGigabitEthernet0/3/0.3132,CRED-CLUB-ITALO;ID:26868,3132,WAN: 172.23.238.117/30 - LAN: 190.94.224.116/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3133,CRED-TRAKI-CIGARRAL;ID:26831,3133,WAN: 172.23.238.185/30 - LAN: 190.94.224.184/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3134,CRED-RANDY-SOTANO2;ID:4,3134,WAN: 190.94.250.41/30 - LAN: ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet0/3/0.3135,CRED-GA-EF-COMPANY-S;ID:26873,3135,WAN: 172.23.237.1/30 - LAN: 181.225.53.168/29 190.94.194.40/30 190.94.194.80/30 190.94.194.84/30 190.94.194.176/30 190.94.201.144/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet0/3/0.3136,CRED-HIPER-PARAMO;ID:26920,3136,WAN: 172.23.237.225/30 - LAN: 190.94.194.176/30 190.94.201.144/30 ,,ACL:200M / Mb:error_speed,ACL:200M / Mb:error_speed,
 CRED1004X1,TenGigabitEthernet0/3/0.3137,CRED-2NET-GFITNESS;ID:26905,3137,WAN: 172.23.237.33/30 - LAN: 190.94.201.84/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3138,CRED-MOTORES-LA-TRIN;ID:26991,3138,WAN: 172.23.237.241/30 - LAN: 190.94.194.40/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3139,CRED-CORP-EMINENT-PC;ID:26993,3139,WAN: 172.23.237.189/30 - LAN: 190.94.194.44/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3140,CRED-INV-B2008;ID:26953,3140,WAN: 172.23.237.245/30 - LAN: 190.94.194.80/30 190.94.194.84/30 ,,ACL:200M / Mb:error_speed,ACL:200M / Mb:error_speed,
 CRED1004X1,TenGigabitEthernet0/3/0.3141,CRED-FASTMED;ID:26793,3141,WAN: 172.23.248.9/30 - LAN: 190.94.194.112/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3142,CRED-PAPELES-LUCIANO;ID:26555,3142,WAN: 172.23.241.245/30 - LAN: 190.94.244.248/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3143,CRED-DIRECTA-GROUP;ID:26269,3143,WAN: 172.23.246.93/30 - LAN: 190.94.245.72/29 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3144,-CRED-AMNISTIA;ID:26146,3144,WAN: 172.23.246.73/30 - LAN: 190.94.252.12/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3145,CRED-MERCANTIL-INTER;ID:27273,3145,WAN: 172.23.239.145/30 - LAN: 190.94.198.152/29 ,,ACL:200M / Mb:error_speed,ACL:200M / Mb:error_speed,
 CRED1004X1,TenGigabitEthernet0/3/0.3146,CRED-VEPICA;ID:27094,3146,WAN: 172.23.248.149/30 - LAN: 181.225.47.112/28 ,,ACL:600M / Mb:600,ACL:600M / Mb:600,
 CRED1004X1,TenGigabitEthernet0/3/0.3147,CRED-CONTIFLEX;ID:26477,3147,WAN: 172.23.248.213/30 - LAN: 190.94.193.68/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3148,CRED-INTELCON;ID:27203,3148,WAN: 172.23.243.197/30 - LAN: 190.94.193.104/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet0/3/0.3149,CRED-HIPERM-PARAMO;ID:26920,3149,WAN: 172.23.251.81/30 - LAN: 190.94.194.172/30 ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet0/3/0.3290,GPON-VL3290-INTERVIT;ID:26209,3290,WAN: 172.23.245.233/30 - LAN: 190.94.250.108/30 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet0/3/0.3360,ELUN-GRUPESKA;ID:26253,3360,WAN: 172.23.248.105/30 - LAN: ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/0,,,,,,
 CRED1004X1,TenGigabitEthernet1/0/1,,,,,,
 CRED1004X1,TenGigabitEthernet1/0/2,CCSJ4500CREX2_xe-0/0/10_CRED-LIBER-ANAUC-CCGP,,,,,
 CRED1004X1,TenGigabitEthernet1/0/2.58,TO3M-MGMT,58,WAN: 172.23.249.153/29 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet1/0/2.253(shutdown),CRED-LEBH-IFXSERVERS,253, SEC-WAN: 200.62.10.1/26 - LAN: WAN: 181.225.41.65/28 - LAN: ,WAN: 2803:D480:0:80::3D01/120 - LAN: ,,
 CRED1004X1,TenGigabitEthernet1/0/2.257,CRED-DVA-GESTIONES;ID:27305,257,WAN: 190.94.210.253/30 - LAN: ,,ACL:100M / Mb:102,ACL:100M / Mb:102,
 CRED1004X1,TenGigabitEthernet1/0/2.264,CRED-VIPTEL;ID:22643,264,WAN: 200.62.26.197/30 - LAN: 181.225.39.0/24 181.225.45.128/26 181.225.57.0/24 181.225.58.0/23 190.94.215.0/24 190.94.246.0/24 190.94.247.0/24 190.94.248.0/24 190.94.249.0/24 200.1.119.0/24 201.218.180.0/22 ,WAN: 2803:D480:0:69::8053/64 - LAN: ,ACL:VIPTEL / Mb:4000,ACL:VIPTEL / Mb:4000,
 CRED1004X1,TenGigabitEthernet1/0/2.276(shutdown),CRED-INTERLINEMAK,276,WAN: 190.94.218.105/29 - LAN: ,,ACL:30M / Mb:30,ACL:30M / Mb:30,
 CRED1004X1,TenGigabitEthernet1/0/2.278,CRED-FCHACON,278,WAN: 190.94.253.137/30 - LAN: ,,ACL:40M / Mb:40,ACL:40M / Mb:40,
 CRED1004X1,TenGigabitEthernet1/0/2.298,CRED-7LINK;ID:26285,298,WAN: 181.225.44.21/30 - LAN: 181.225.44.16/30 181.225.48.160/29 181.225.48.168/29 181.225.48.224/29 181.225.48.240/29 190.94.201.32/30 ,,ACL:7-LINK / Mb:3000,ACL:7-LINK / Mb:3000,
 CRED1004X1,TenGigabitEthernet1/0/2.961(shutdown),MB-INT-1;ID:26059,961,WAN: 190.94.211.41/29 - LAN: ,,ACL:80M / Mb:80,ACL:80M / Mb:80,
 CRED1004X1,TenGigabitEthernet1/0/2.1014,LIBER-COL-SINAI,ID:4,1014,WAN: 172.23.255.157/30 - LAN: 181.225.43.240/29 ,,ACL:50M / Mb:55,ACL:50M / Mb:55,
 CRED1004X1,TenGigabitEthernet1/0/2.1027,LIBER-FT-TRANSPORTE;ID:26556,1027, SEC-WAN: 172.23.241.45/30 - LAN: 190.94.244.240/30 WAN: 172.23.240.201/30 - LAN: ,,,
 CRED1004X1,TenGigabitEthernet1/0/2.1034,SEG-ALT-P2-SW;ID:26655,1034,WAN: 172.23.240.49/30 - LAN: ,,,
