NOMBRE_EQUIPO,NOMBRE_VLAN,COMANDO_DEL,COMANDO_ADD,COMANDO_IP
 VECREDNOC1004X1,TUNO-FINAL-CURVE,no interface TenGigabitEthernet0/3/0.3280,interface Te0/3/0.3280,ip address 172.23.248.65 255.255.255.252
 VECCSNOC7206X2,TUNO-ISARQ,no interface GigabitEthernet0/2.474,interface Te0/3/0.3281,ip address 172.23.248.153 255.255.255.252
 VECREDNOC1004X1,TUNO-ISARQ,no interface TenGigabitEthernet0/3/0.3281,interface Te0/3/0.3281,ip address 172.23.248.153 255.255.255.252
 VECREDNOC1004X1,TUNO-AUDIO-CONCEPT,no interface TenGigabitEthernet0/3/0.3282,interface Te0/3/0.3282,ip address 172.23.248.229 255.255.255.252
 VECCSNOC7206X2,TUNO-CONAVEN,no interface GigabitEthernet0/2.476,interface Te0/3/0.3283,ip address 172.23.248.237 255.255.255.252
 VECREDNOC1004X1,TUNO-CONAVEN,no interface TenGigabitEthernet0/3/0.3283,interface Te0/3/0.3283,ip address 172.23.248.237 255.255.255.252
 VECREDNOC1004X1,TUNO-MODUSISTEMA,no interface TenGigabitEthernet0/3/0.3284,interface Te0/3/0.3284,ip address 172.23.247.21 255.255.255.252
 VECREDNOC1004X1,TUNO-BANKING,no interface TenGigabitEthernet0/3/0.3285,interface Te0/3/0.3285,ip address 172.23.243.177 255.255.255.252
 VECREDNOC1004X1,TUNO-ECHO-LINK,no interface TenGigabitEthernet0/3/0.3286,interface Te0/3/0.3286,ip address 172.23.247.157 255.255.255.252
 VECREDNOC1004X1,TUNO-UNION-EUROPEA-MUD,no interface TenGigabitEthernet0/3/0.3287,interface Te0/3/0.3287,ip address 172.23.255.217 255.255.255.252
 VECREDNOC1004X1,TUNO-HECTICUS,no interface TenGigabitEthernet0/3/0.3288,interface Te0/3/0.3288,ip address 172.23.247.193 255.255.255.252
 VECREDNOC1004X1,TUNO-MUEBLES-MARY,no interface TenGigabitEthernet0/3/0.3289,interface Te0/3/0.3289,ip address 172.23.245.89 255.255.255.252
 VECREDNOC1004X1,TUNO-INTERVIT,no interface TenGigabitEthernet0/3/0.3290,interface Te0/3/0.3290,ip address 172.23.245.233 255.255.255.252
 VECREDNOC1004X1,TUNO-CONSEIN,no interface TenGigabitEthernet0/3/0.3291,interface Te0/3/0.3291,ip address 172.23.253.249 255.255.255.252
 VECREDNOC1004X1,TUNO-CLUB-VALLE-ARRIBA,no interface TenGigabitEthernet0/3/0.3292,interface Te0/3/0.3292,ip address 181.225.53.81 255.255.255.248
 VELEBNOC1002X1,BOL-AGROP-MUNDIAL,no interface GigabitEthernet0/1/5.671,interface Te0/3/0.3432,ip address 172.23.243.225 255.255.255.252
 VELEBNOC1002X1,LEB-AVILAIRE,no interface GigabitEthernet0/1/2.1682,interface Te0/3/0.3435,ip address 172.23.243.117 255.255.255.252
 VELEBNOC1002X1,BOL-BET-SHMUEL-ESTE,no interface GigabitEthernet0/1/5.627,interface Te0/3/0.3410,ip address 190.94.210.189 255.255.255.252
 VELEBNOC1002X1,BOL-BRANZA-1800,no interface GigabitEthernet0/1/5.670,interface Te0/3/0.3431,ip address 172.23.243.221 255.255.255.252
 VELEBNOC1002X1,LEB-CANGURO,no interface Port-channel2.1658,interface Te0/3/0.3450,ip address 172.23.244.113 255.255.255.252
 VELEBNOC1002X1,BOL-CAUCHOS-MUNDIAL,no interface GigabitEthernet0/1/5.666,interface Te0/3/0.3427,ip address 172.23.243.133 255.255.255.252
 VELEBNOC1002X1,BOL-CGSI,no interface GigabitEthernet0/1/5.654,interface Te0/3/0.3419,ip address 172.23.245.65 255.255.255.252
 VELEBNOC1002X1,BOL-COLEGIO-FRANCIA,no interface GigabitEthernet0/1/5.669,interface Te0/3/0.3430,ip address 172.23.243.185 255.255.255.252
 VELEBNOC1002X1,LEB-DGCIM-OPERACIONES,no interface GigabitEthernet0/1/2.1652,interface Te0/3/0.3445,ip address 172.23.245.193 255.255.255.252
 VELEBNOC1002X1,LEB-DIRECTA-GROUP-AUTANA,no interface GigabitEthernet0/1/2.1660,interface Te0/3/0.3451,ip address 172.23.245.117 255.255.255.252
 VELEBNOC1002X1,LEB-DROGUERIA-NENA,no interface Port-channel2.1681,interface Te0/3/0.3434,ip address 172.23.243.109 255.255.255.252
 VELEBNOC1002X1,LEB-FARMACIA-ADAN,no interface GigabitEthernet0/1/2.1666,interface Te0/3/0.3442,ip address 172.23.246.57 255.255.255.252
 VELEBNOC1002X1,LEB-GENERACION-TECN,no interface GigabitEthernet0/1/2.1667,interface Te0/3/0.3443,ip address 172.23.246.113 255.255.255.252
 VELEBNOC1002X1,LEB-GINA,no interface GigabitEthernet0/1/2.1120,interface Te0/3/0.3454,ip address 172.23.248.53 255.255.255.252
 VELEBNOC1002X1,BOL-GRUPO-PHX,no interface GigabitEthernet0/1/5.668,interface Te0/3/0.3429,ip address 172.23.243.181 255.255.255.252
 VELEBNOC1002X1,BOL-HEB-CAM,no interface GigabitEthernet0/1/5.605,interface Te0/3/0.3401,ip address 172.23.253.97 255.255.255.252
 VELEBNOC1002X1,BOL-HEB-COLEGIO,no interface GigabitEthernet0/1/5.644,interface Te0/3/0.3414,ip address 172.23.254.185 255.255.255.252
 VELEBNOC1002X1,LEB-HEB-WIFI,no interface GigabitEthernet0/1/2.1122,interface Te0/3/0.3455,ip address 181.225.43.97 255.255.255.248
 VELEBNOC1002X1,LEB-HOTECHE,no interface GigabitEthernet0/1/2.1675,interface Te0/3/0.3433,ip address 172.23.243.97 255.255.255.252
 VELEBNOC1002X1,LEB-KORES,no interface GigabitEthernet0/1/2.1719,interface Te0/3/0.3441,ip address 172.23.243.49 255.255.255.252
 VELEBNOC1002X1,BOL-LIBERTY-OFINCA,no interface GigabitEthernet0/1/5.667,interface Te0/3/0.3428,ip address 172.23.243.209 255.255.255.252
 VELEBNOC1002X1,LEB-LIDER-PRAGMA,no interface Port-channel2.1656,interface Te0/3/0.3449,ip address 172.23.245.225 255.255.255.252
 VELEBNOC1002X1,BOL-MICROFILMS,no interface GigabitEthernet0/1/5.650,interface Te0/3/0.3416,ip address 172.23.247.173 255.255.255.252
 VELEBNOC1002X1,LEB-NIVTAJ-TSALACH,no interface GigabitEthernet0/1/2.1661,interface Te0/3/0.3452,ip address 172.23.246.165 255.255.255.252
 VELEBNOC1002X1,BOL-OLTP-ATM,no interface GigabitEthernet0/1/5.661,interface Te0/3/0.3425,ip address 172.23.244.65 255.255.255.252
 VELEBNOC1002X1,BOL-OLTP-URB,no interface GigabitEthernet0/1/5.658,interface Te0/3/0.3421,ip address 172.23.255.237 255.255.255.252
 VELEBNOC1002X1,BOL-OPAS,no interface GigabitEthernet0/1/5.647,interface Te0/3/0.3415,ip address 172.23.247.177 255.255.255.252
 VELEBNOC1002X1,LEB-PEPSICO,no interface GigabitEthernet0/1/0.1119,interface Te0/3/0.3453,ip address 172.23.248.57 255.255.255.252
 VELEBNOC1002X1,LEB-PRC-SEGRE,no interface GigabitEthernet0/1/2.1669,interface Te0/3/0.3444,ip address 172.23.246.25 255.255.255.252
 VELEBNOC1002X1,LEB-PRIMTEK-CCBC,no interface GigabitEthernet0/1/2.1655,interface Te0/3/0.3448,ip address 172.23.245.213 255.255.255.252
 VELEBNOC1002X1,LEB-PRIMTEK-WILSON,no interface GigabitEthernet0/1/2.1654,interface Te0/3/0.3447,ip address 172.23.245.209 255.255.255.252
 VELEBNOC1002X1,BOL-PROD_KHYM,no interface GigabitEthernet0/1/5.660,interface Te0/3/0.3423,ip address 172.23.245.189 255.255.255.252
 VELEBNOC1002X1,BOL-PROD_KHYM,no interface GigabitEthernet0/1/5.660,interface Te0/3/0.3424,ip address 172.23.245.189 255.255.255.252
VECCSNOCJM120x1,BOL-RIVOLI,del interfaces ge-2/0/0 unit 620,interface Te0/3/0.3405,ip address 172.23.251.117/30
 VELEBNOC1002X1,LEB-SALVA-LOGISTC,no interface GigabitEthernet0/1/0.1707,interface Te0/3/0.3437,ip address 172.23.244.69 255.255.255.252
 VELEBNOC1002X1,LEB-SMARTCALL-PANALP,no interface GigabitEthernet0/1/0.1706,interface Te0/3/0.3436,ip address 172.23.244.29 255.255.255.252
 VELEBNOC1002X1,BOL-VALORALTA,no interface GigabitEthernet0/1/5.637,interface Te0/3/0.3411,ip address 172.23.248.185 255.255.255.252
 VELEBNOC1002X1,BOL-WEDOO,no interface GigabitEthernet0/1/5.606,interface Te0/3/0.3402,ip address 172.23.247.249 255.255.255.252
 VELEBNOC1002X1,LEB-MOLINOS-NACIONALES,no interface GigabitEthernet0/1/2.1134,interface Te0/3/0.3461,ip address 172.23.254.249 255.255.255.252
 VELEBNOC1002X1,LEB-PRC333-MONACA,no interface Port-channel2.1133,interface Te0/3/0.3460,ip address 172.23.248.245 255.255.255.252
 VELEBNOC1002X1,LEB-PRC-DANISA,no interface GigabitEthernet0/1/2.1132,interface Te0/3/0.3459,ip address 172.23.252.145 255.255.255.252
 VELEBNOC1002X1,BOL-ARTROGEN,no interface GigabitEthernet0/1/2.610,interface Te0/3/0.3462,ip address 172.23.245.173 255.255.255.252
 VELEBNOC1002X1,LEB-SMARTCALL-COLEG,no interface GigabitEthernet0/1/0.1128,interface Te0/3/0.3458,ip address 172.23.247.37 255.255.255.252
 VELEBNOC1002X1,BOL-VENEIMCA,no interface GigabitEthernet0/1/5.624,interface Te0/3/0.3463,ip address 172.23.250.145 255.255.255.252
 VELEBNOC1002X1,LEB-TELEVEN,no interface GigabitEthernet0/1/2.1127,interface Te0/3/0.3457,ip address 172.23.247.17 255.255.255.252
 VELEBNOC1002X1,LEB-CENTRO-MARMOL,no interface GigabitEthernet0/1/2.1671,interface Te0/3/0.3456,ip address 172.23.243.73 255.255.255.252
 VELEBNOC1002X1,LEB-CHARVENCA,no interface GigabitEthernet0/1/0.1117,interface Te0/3/0.3457,ip address 172.23.248.249 255.255.255.252
 VELEBNOC1002X1,LEB-CLOUDHOPP,no interface GigabitEthernet0/1/2.1683,interface Te0/3/0.3452,ip address 172.23.243.165 255.255.255.252
 VELEBNOC1002X1,LEB-CONTALFA,no interface GigabitEthernet0/1/0.1103,interface Te0/3/0.3451,ip address 172.23.252.233 255.255.255.252
 VELEBNOC1002X1,LEB-DILOJA,no interface GigabitEthernet0/1/0.1118,interface Te0/3/0.3453,ip address 172.23.248.233 255.255.255.252
 VELEBNOC1002X1,LEB-STP-CONSULTORES,no interface GigabitEthernet0/1/0.1126,interface Te0/3/0.3455,ip address 172.23.247.13 255.255.255.252
 VELEBNOC1002X1,LEB-DIVISION-365,no interface GigabitEthernet0/1/2.1662,interface Te0/3/0.3150,ip address 172.23.246.209 255.255.255.252
 VELEBNOC1002X1,LEB-QTA-ODETE,no interface GigabitEthernet0/1/2.1663,interface Te0/3/0.3151,ip address 190.94.252.209 255.255.255.252
 VELEBNOC1002X1,LEB-HERGLY,no interface GigabitEthernet0/1/2.1664,interface Te0/3/0.3152,ip address 172.23.246.213 255.255.255.252
 VELEBNOC1002X1,LEB-INVERSIONES-747,no interface GigabitEthernet0/1/2.1665,interface Te0/3/0.3153,ip address 172.23.246.221 255.255.255.252
