NOMBRE_EQUIPO,INTERFACE,NOMBRE_CLIENTE,NRO_VLAN,DIRECCION_IP,VELOCIDAD_ENTRADA,VELOCIDAD_SALIDA,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1526,PCR-E-BUSINESS,1526,172.23.247.197 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1527,PCR-DELLACQUA,1527,172.23.245.9 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1528,PCR-MARITIMA-MAROLA,1528,172.23.247.225 255.255.255.252,30M,30M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1532(shutdown),PCR-DATINVOZ-TDELTA,1532,172.23.250.17 255.255.255.252,2G,2G,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1534,PCR-MK_RES1,1534,172.23.253.213 255.255.255.252,,,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1535,PCR-CONDOMINIO-CAURIMARE,1535,172.23.246.89 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1545,PCR-COND-GALIPAN,1545,172.23.246.29 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1548,PCR-OBRAS-PUBLICAS,1548,172.23.245.229 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1553,GALI-AGEN-DE-FUTBOL,1553,172.23.245.57 255.255.255.252,10M,,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1557,GALI-INV-CAYTAFA,1557,172.23.241.89 255.255.255.252,40M,40M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1558,GALI-MENCEY-CONTAC,1558,172.23.244.13 255.255.255.252,100M,100M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1559,MRW;ID:26188,1559,172.23.244.21 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1560,POLICIA-CHACAO;ID:25401,1560,172.23.244.17 255.255.255.252,20M,20M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1561,CARROFERTA-LIDO;ID:26572,1561,172.23.241.185 255.255.255.252,100M,100M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1563,AGRO-AGUADIA;ID:26233,1563,172.23.244.81 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1565,TELENET;ID:26245,1565,172.23.244.133 255.255.255.252,TELENET,TELENET,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1568,ANALITICOM;ID:26278,1568,172.23.243.17 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1573,MAESTRE;ID:26235,1573,172.23.246.177 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1574(shutdown),GALI-INTERNET-DED,1574,172.23.241.217 255.255.255.252,400M,400M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1575,GLOBAL-UNO;ID:26194,1575,172.23.246.129 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1577,POR-LA-PASTORA;ID:26298,1577,172.23.246.141 255.255.255.252,60M,60M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1578,IT-BUSINESS;ID:26237,1578,172.23.246.149 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1579,VIVIR-SEGUROS;ID:26239,1579,172.23.246.153 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1580,GALI-LAN-SUPPORT,1580,172.23.246.161 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1582,GALI-SISNET-LIDO,1582,172.23.246.205 255.255.255.252,100M,100M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1583,GALI-HEFZIBA,1583,172.23.246.245 255.255.255.252,100M,100M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1585,ALPHATECH;ID:26265,1585,172.23.246.61 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1586,VECIIINO;ID:26264,1586,172.23.246.217 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1587,PERLA-DEL-SUR-2;ID:26207,1587,172.23.243.21 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1588,PROPERTY;ID:26293,1588,172.23.243.25 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1590,DIVIDENDO-VOLUNTARIO;ID:26295,1590,172.23.243.65 255.255.255.252,100M,100M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1592,OPTIDIALER;ID:26321,1592,172.23.243.161 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1593,GALI-DROGU-TOKKEN-PAGOS,1593,172.23.243.113 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1594,GALI-TEKKOA-BK2,1594,172.23.243.233 255.255.255.252,40M,40M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1595,GPON-VL3228-ZURICH;ID:26002,1595,172.23.251.121 255.255.255.252,60M,60M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1596,GPON-VL3229-GALI-FONDO-DE-VALORES,1596,172.23.248.169 255.255.255.252,150M,150M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1597,GPON-VL3230-PRIMTEK-27;ID:26258,1597,172.23.248.225 255.255.255.252,200M,200M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1598,ACCESS-SALUD;ID:26141,1598,172.23.247.209 255.255.255.252,100M,100M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1599,GALI-VENAMCHAM,1599,172.23.244.245 255.255.255.252,120M,120M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1600,GALI-NATIONAL-CARGO,1600,172.23.244.25 255.255.255.252,100M,100M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1604,GRUPO-OSEO-PC;ID:26169,1604,172.23.254.37 255.255.255.252,,,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1610,PCR-LIBERTY-EXPRESS,1610,172.23.245.61 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1618,PCR-TOTAL-OIL,1618,172.23.244.85 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1619,PCR-BORN-RAISED,1619,172.23.244.89 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1621(shutdown),PCR-DORAVILA,1621,172.23.246.133 255.255.255.252,,,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1622,PCR-JOYERIA-RIO,1622,172.23.244.101 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1626,PCR-TOP-IP-2_(TOP_ALLIED),1626,190.94.250.61 255.255.255.252,100M,100M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1628,PCR-HELIOS,1628,172.23.246.181 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1632,PCR-ADM-MENGIM,1632,172.23.246.233 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1633,PCR-INVERCAPITAL,1633,172.23.246.237 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1636,PCR-MOHEDAN56-P1,1636,172.23.246.253 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1638,PCR-PROAGRO,1638,172.23.241.65 255.255.255.252,40M,40M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1639,PCR-GRUPO-PHX,1639,172.23.246.117 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1643,PCR-CRUZ-ROJA-GALIA,1643,172.23.243.5 255.255.255.252,40M,40M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1644,PCR-JAP-PAPPIER,1644,172.23.243.9 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1645,PCR-REVERON-ROSARIO,1645,172.23.243.13 255.255.255.252,50M,50M,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1646,PCR-GAMA-LPG,1646,172.23.244.197 255.255.255.252,,,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1648,PCR-VIVA-SUPERCEN-SW ,1648,172.23.244.205 255.255.255.252,,,
 VECREDNOC1004X1,TenGigabitEthernet1/0/3.1649,PCR-TELECORP-C-LETONIA,1649,172.23.250.129 255.255.255.252,60M,60M,
