NOMBRE_EQUIPO,INTERFACE,NOMBRE_CLIENTE,NRO_VLAN,DIRECCION_IP,VELOCIDAD_ENTRADA,VELOCIDAD_SALIDA
 VELEBNOC1002X1,GigabitEthernet0/1/0.1702,TUNO-GAMA-LM,1702,172.23.254.33 255.255.255.252,,,
 VELEBNOC1002X1,GigabitEthernet0/1/0.1705,LEB-ULTIMAS-NOTICIAS,1705,172.23.245.185 255.255.255.252,60M,60M,
 VELEBNOC1002X1,GigabitEthernet0/1/0.1706,LEB-SMARTCALL-PANALP,1706,172.23.244.29 255.255.255.252,80M,80M,
 VELEBNOC1002X1,GigabitEthernet0/1/0.1707,LEB-SALVA-LOGISTC,1707,172.23.244.69 255.255.255.252,150M,150M,
 VELEBNOC1002X1,GigabitEthernet0/1/0.1720,LEB-GAMA-URBINA,1720,172.23.244.217 255.255.255.252,,,
 VELEBNOC1002X1,GigabitEthernet0/1/1,,,,,,
 VELEBNOC1002X1,GigabitEthernet0/1/2,CCSJ4500LEBX1_ge-0/0/19-CAURIMARE,,,,,
 VELEBNOC1002X1,GigabitEthernet0/1/2.213,MCCY-CHARVENCA-CSP,213,172.23.252.221 255.255.255.252,20M,20M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.216,MCCY-GAMA-MCY-EXPRESS,216,172.23.254.109 255.255.255.252,,,
 VELEBNOC1002X1,GigabitEthernet0/1/2.218,,218,172.23.244.153 255.255.255.252,40M,40M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.222,MCCY-MERCADOMEGA-SW,222,172.23.244.201 255.255.255.252,,,
 VELEBNOC1002X1,GigabitEthernet0/1/2.790,LEB-NTIS-EG-LATRI,790,172.23.252.193 255.255.255.252,40M,40M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1120,RED1-VL1120-LEB-GINA,1120,172.23.248.53 255.255.255.252,50M,50M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1122,RED1-VL1122-LEB-HEB-WIFI,1122,181.225.43.97 255.255.255.248,50M,50M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1123,,1123,172.23.254.105 255.255.255.252,50M,50M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1127,LEB-TELEVEN,1127,172.23.247.17 255.255.255.252,200M,200M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1132,LEB-PRC-DANISA,1132,172.23.252.145 255.255.255.252,50M,50M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1134,LEB-MOLINOS-NACIONALES,1134,172.23.254.249 255.255.255.252,80M,80M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1255,CAU-GRUPO-GLOBAL,1255,172.23.245.149 255.255.255.252,20M,20M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1257,CAU-CASATE,1257,172.23.244.165 255.255.255.252,40M,40M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1258,CAU-GAMA-CAURIMARE,1258,172.23.254.189 255.255.255.252,,,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1260,CAU-GAMA-CHUAO,1260,172.23.253.197 255.255.255.252,,,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1263,CAU-IJLUD-OFICINA,1263,172.23.251.5 255.255.255.252,20M,20M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1264,CAU-IJLUD-TEMPLO,1264,172.23.251.9 255.255.255.252,20M,20M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1652,LEB-DGCIM-OPERACIONES,1652,172.23.245.193 255.255.255.252,70M,70M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1653,LEB-DGCIM-5,1653,172.23.245.197 255.255.255.252,5M,5M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1654,LEB-PRIMTEK-WILSON,1654,172.23.245.209 255.255.255.252,100M,100M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1655,LEB-PRIMTEK-CCBC,1655,172.23.245.213 255.255.255.252,PRIMTEK,PRIMTEK,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1660,LEB-DIRECTA-GROUP-AUTANA,1660,172.23.245.117 255.255.255.252,20M,20M,
 VELEBNOC1002X1,GigabitEthernet0/1/2.1661,LEB-NIVTAJ-TSALACH,1661,172.23.246.165 255.255.255.252,40M,40M,
