BOL-CGSI,Vlan Name,Nombre a Cambiar,Current Vlan,New Vlan,Servicio,Migrado a Vlan 3000,Migrado Físicamente,Pandora,Cacti,Documento de Vlans / Switch,Documento de Vlans GPON,Documento de LAN,Documento de WAN,Documento de Correos por Nodo,Vlan en la OLT,Puertos / Vlan de los Switch
,GALI-IGLESIA-C-ALEG,,3243,4008,,,,,,,,,,,,
,GALI-AGEN-DE-FUTBOL,,3244,1553,,,,,,,,,,,,
,GALI-CONTRUCTORA-IHI,,3245,4009,,,,,,,,,,,,
,GALI-EVEBA,,3246,555,,,,,,,,,,,,
,GALI-FINANTRUST,,3247,595,,,,,,,,,,,,
,GALI-FONDOGLOBAL,,3248,551,,,,,,,,,,,,
,GALI-INTERJURIS,,3249,553,,,,,,,,,,,,
,GALI-MRW,,3600,1559,,,,,,,,,,,,
,GALI_ORIENTAL,,3601,566,,,,,,,,,,,,
,GALI-OVEJA-NEGRA,,3602,558,,,,,,,,,,,,
,GALI-PACIF,,3603,562,,,,,,,,,,,,
,GALI-POLICIA-CHACAO,,3604,1560,,,,,,,,,,,,
,GALI-SEPAGOS,,3605,591,,,,,,,,,,,,
,GALI-FAO,,3606,565,,,,,,,,,,,,
,GALI-NODUS-BANK,,3607,573,,,,,,,,,,,,
,GALI-ZUMA-SEGUROS,,3608,594,,,,,,,,,,,,
,GALI-CLARKEMODET,,3609,4010,,,,,,,,,,,,
,GALI-GRUPO-LATAM,,3610,4011,,,,,,,,,,,,
,GALI-METRO-MULTICENT,,3611,4012,,,,,,,,,,,,
,GALI-AXESS-NET,,3612,4013,,,,,,,,,,,,
,GALI-INV-CAYTAFA,,3613,4014,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Lib,LIBER-NUBOTEK,,3007,,,,,,,,,,,,,
,LIBER-QUINTA-MARQUIS,,3008,,,,,,,,,,,,,
,LIBER-CONSULTORES-SC,,3009,,,,,,,,,,,,,
,LIBER-QUINTA-MERCED,,3010,,,,,,,,,,,,,
,LIBER-AMNISTIA,,3011,,,,,,,,,,,,,
,LIBER-MACROTEL,,3012,,,,,,,,,,,,,
,LIBER-PLUS-CONTACT,,3013,,,,,,,,,,,,,
,LIBER-QUINTA-CAPIHUE,,3014,,,,,,,,,,,,,
,LIBER-DIRECTA-GROUP,,3015,,,,,,,,,,,,,
,LIBER-EMB-PAISES-BAJOS,LIBER-EMB-PAISES-BAJ,3016,,,,,,,,,,,,,
,LIBER-QUINTA-ARCADIA,,3017,,,,,,,,,,,,,
,LIBER-CORP-ASIA,,3018,,,,,,,,,,,,,
,LIBER-QTA-SAN-LUIS,,3019,,,,,,,,,,,,,
,LIBER-QTA-PIKAPU,,3020,,,,,,,,,,,,,
,LIBER-QTA-SETORRAY,,3021,,,,,,,,,,,,,
,LIBER-QTA-EL-RINCON,,3022,,,,,,,,,,,,,
,LIBER-QTA-EL-SAMAN,,3023,,,,,,,,,,,,,
,LIBER-QTA-SALTAMONTES,LIBER-QTA-SALTAMONTS,3024,,,,,,,,,,,,,
,LIBER-COUNTRY-CLUB,,3025,,,,,,,,,,,,,
,LIBER-AISVE,,3026,,,,,,,,,,,,,
,LIBER-BANCO-PLAZA-PPL,LIBER-BCO-PLAZA-PPL,3027,,,,,,,,,,,,,
,SALVAFOOD-PZA-VZLA,,3028,,,,,,,,,,,,,
,LIB-SOFTECH,,3029,,,,,,,,,,,,,
,LIB-BEYOND-CC,,3030,,,,,,,,,,,,,
,LIB-LAB-BEHRENS,,3031,,,,,,,,,,,,,
,LIB-QUINTA-RE,,3032,,,,,,,,,,,,,
,LIB-CLEA-TELECOM,,3033,,,,,,,,,,,,,
,LIB-QUINTA-EMECICNO,,3034,,,,,,,,,,,,,
,LIBER-SOLUCIONESTI,,3035,,,,,,,,,,,,,
,LIBER-SOAINT,,3036,,,,,,,,,,,,,
,LIBER-SOL-COELLO-PISO-6,LIBER-S-COELLO-P6,3037,,,,,,,,,,,,,
,LIBER-MICASITA,,3038,,,,,,,,,,,,,
,LIBER-QUINTA-SOLERA,,3039,,,,,,,,,,,,,
,LIBER-DAV-DUBBING,,3040,,,,,,,,,,,,,
,LIBER-CLI-SANTIAGO-L,,3041,,,,,,,,,,,,,
,LIBER-CONDOMI-BANCOP,,3042,,,,,,,,,,,,,
,LIBER-SHAAREI-SHALOM,,3043,,,,,,,,,,,,,
,LIBER-MORE,,3044,,,,,,,,,,,,,
,LIBER-QTA-BELVEDERE,,3045,,,,,,,,,,,,,
,LIBER-TKONEKTO,,3046,,,,,,,,,,,,,
,LIBER-FARMA-HB,,3047,,,,,,,,,,,,,
,LIBER-QUINTA-VY,,3048,,,,,,,,,,,,,
,LIBER-FARM-HB-PLZ-VE,,3049,,,,,,,,,,,,,
,LIBER-FRESH-TECH-BP,,3900,,,,,,,,,,,,,
,LIBER-EVEMPRO,,3001,,,,,,,,,,,,,
,LIBER-JHA,,3003,,,,,,,,,,,,,
,LIBER-NETWORK-CONSUL,,3004,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MCCY,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Lebrun,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Otras Migraciones,,,,,,,,,,,,,,,,
